venue_id,canonical_name,venue_type,city,city_source,state,lat,lng,opened_date,closed_date,capacity,wikidata_qid,osm_id,spine_source,coord_delta_km,in_scope,name_is_ambiguous,alias_count,dated_alias_count,all_aliases
wd-Q106625653,Memorial Auditorium,arena,Sterling,incorporated_places,CO,40.623829435,-103.209989936,,1981-01-17,,Q106625653,,wikidata,,True,True,3,0,Memorial Auditorium | Municipal Memorial Auditorium | Sterling Memorial Auditorium
wd-Q106627194,McCook Memorial Auditorium,arena,McCook,incorporated_places,NE,40.199809886,-100.633384242,,,,Q106627194,,wikidata,,True,False,1,0,McCook Memorial Auditorium
wd-Q106630817,Eddie Pellagrini Diamond,ballpark,Boston,incorporated_places,MA,42.343957,-71.159761,,,,Q106630817,,wikidata,,True,False,1,0,Eddie Pellagrini Diamond
wd-Q106630943,Congaree Golf Club,golf_course,,no_place,SC,32.602,-81.003,,,,Q106630943,,wikidata,,False,False,1,0,Congaree Golf Club
wd-Q106631858,Auditorium,arena,Topeka,incorporated_places,KS,39.04884,-95.67213,,1937-01-01,,Q106631858,,wikidata,,True,False,1,0,Auditorium
wd-Q106631910,Topeka Performing Arts Center,arena,Topeka,incorporated_places,KS,39.04885,-95.67212,,,,Q106631910,,wikidata,,True,True,2,0,Topeka Performing Arts Center | Municipal Auditorium
wd-Q106740236,East Field Stadium,other,Glens Falls,incorporated_places,NY,43.316861,-73.627362,,,,Q106740236,,wikidata,,False,False,1,0,East Field Stadium
wd-Q106777578,Cotton Bowl,stadium,Las Vegas,incorporated_places,NV,36.1863165,-115.148195888,,,,Q106777578,,wikidata,,True,True,1,0,Cotton Bowl
wd-Q106813264,Municipal Swimming Pool,aquatic_center,San Angelo,incorporated_places,TX,31.45676161,-100.43342995,1938-01-01,,,Q106813264,,wikidata,,False,False,1,0,Municipal Swimming Pool
wd-Q105972467,Reunion Golf and Country Club,golf_course,Madison,incorporated_places,MS,32.5121474,-90.1863971,,,,Q105972467,,wikidata,,False,False,1,0,Reunion Golf and Country Club
wd-Q106464980,Claude Walck Park,aquatic_center,Somerville,wikidata_unverified,NJ,,,,,,Q106464980,,wikidata,,False,False,1,0,Claude Walck Park
wd-Q107029358,Jack Shea Arena,arena,Lake Placid,incorporated_places,NY,44.284417,-73.984714,,,,Q107029358,,wikidata,,True,False,1,0,Jack Shea Arena
wd-Q107051662,Rod Carew All-Star Field,ballpark,Minneapolis,incorporated_places,MN,45.027004554,-93.274631654,,,,Q107051662,,wikidata,,True,False,1,0,Rod Carew All-Star Field
wd-Q108303643,Northwell Health Ice Center,other,East Meadow,census_designated_places,NY,40.726944444,-73.576416666,,,,Q108303643,,wikidata,,False,False,1,0,Northwell Health Ice Center
